cluster	SEQFID	genus	species	strain
cluster2051	SEQF2172	Ralstonia	pickettii	12J
cluster405	SEQF1195	Neisseria	flavescens	NRL30031/H210
cluster309	SEQF1151	Bacillus	anthracis	str. A0465
cluster3059	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster1545	SEQF1849	Actinomyces	sp. HMT 170	F0386
cluster1232	SEQF1640	Staphylococcus	epidermidis	BCM-HMP0060
cluster3549	SEQF2910	Corynebacterium	amycolatum	atcc_6931
cluster1192	SEQF1602	Capnocytophaga	gingivalis	ATCC 33624
cluster3509	SEQF2892	Staphylococcus	haemolyticus	s167
cluster2740	SEQF2484	Enterococcus	durans	IPLA 655
cluster3023	SEQF2629	Leptotrichia	goodfellowii	DSM 19756
cluster1857	SEQF2030	Achromobacter	xylosoxidans	C54
cluster2377	SEQF2293	Bacillus	subtilis	subsp. spizizenii ATCC 6633
cluster1425	SEQF1801	Cutibacterium	acnes	J139
cluster2846	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster1739	SEQF1971	Microbacterium	flavescens	F0373
cluster2019	SEQF2167	Pseudomonas	aeruginosa	M18
cluster1925	SEQF2080	Kingella	kingae	ATCC 23330
cluster2598	SEQF2382	Pseudomonas	stutzeri	CCUG 29243
cluster3175	SEQF2709	Delftia	acidovorans	2167 DR66
cluster1267	SEQF1659	Neisseria	oralis	F0314
cluster915	SEQF1494	Streptococcus	pyogenes	NZ131
cluster883	SEQF1485	Acinetobacter	baumannii	AB0057
cluster2992	SEQF2615	Eikenella	corrodens	CC92I
cluster2366	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster2667	SEQF2420	Lactobacillus	crispatus	FB077-07
cluster768	SEQF1382	Streptococcus	mutans	NN2025
cluster2637	SEQF2400	Streptococcus	salivarius	K12
cluster198	SEQF1099	Yersinia	pestis	Pestoides F
cluster1536	SEQF1846	Streptococcus	downei	F0415
cluster382	SEQF1188	Escherichia	coli	53638
cluster962	SEQF1515	Escherichia	coli	O157:H7 str. EC4486
cluster3241	SEQF2741	Porphyromonas	gingivalis	A7436
cluster3890	SEQF3047	Corynebacterium	minutissimum	hmsc05e07
cluster903	SEQF1490	Staphylococcus	aureus	Mu3
cluster1082	SEQF1561	Yersinia	pestis	biovar Antiqua str. E1979001
cluster476	SEQF1247	Escherichia	coli	O157:H7 str. TW14359
cluster2525	SEQF2334	Streptococcus	anginosus	CCUG 39159
cluster963	SEQF1515	Escherichia	coli	O157:H7 str. EC4486
cluster3624	SEQF2952	Corynebacterium	simulans	hmsc08c04
cluster2405	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster1879	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster3344	SEQF2819	Fusobacterium	nucleatum subsp. vincentii	3_1_27
cluster3301	SEQF2787	Peptostreptococcaceae [XI][G-9]	[Eubacterium] brachy	ATCC 33089
cluster916	SEQF1494	Streptococcus	pyogenes	NZ131
cluster3589	SEQF2938	Corynebacterium	aurimucosum	hmsc036d02
cluster3310	SEQF2793	Desulfovibrio	fairfieldensis	CCUG 45958
cluster818	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster1195	SEQF1604	Cardiobacterium	hominis	ATCC 15826
cluster1333	SEQF1710	Escherichia	coli	O111:H- str. 11128
cluster2197	SEQF2227	Streptococcus	pneumoniae	GA04375
cluster561	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster3815	SEQF3024	Corynebacterium	amycolatum	hmsc064h12
cluster253	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster3068	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster201	SEQF1099	Yersinia	pestis	Pestoides F
cluster3055	SEQF2669	Cronobacter	sakazakii	680
cluster897	SEQF1489	Staphylococcus	aureus	D30
cluster2265	SEQF2269	Corynebacterium	diphtheriae	C7 (beta)
cluster941	SEQF1509	Escherichia	coli	O157:H7 str. EC4076 
cluster3496	SEQF2889	Serratia	marcescens	rsc_14
cluster2124	SEQF2197	Rothia	mucilaginosa	M508
cluster486	SEQF1252	Lactobacillus	brevis	ATCC 367
cluster249	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster3493	SEQF2889	Serratia	marcescens	rsc_14
cluster360	SEQF1175	Neisseria	mucosa	ATCC 25996
cluster1805	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster761	SEQF1376	Escherichia	coli	SE11
cluster3257	SEQF2749	Ottowia	sp. HMT 894	W10237
cluster1834	SEQF2005	Streptococcus	oralis subsp. oralis	Uo5
cluster1589	SEQF1873	Treponema	denticola	AL-2/F0461
cluster3757	SEQF3002	Corynebacterium	simulans	hmsc077d03
cluster3144	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster3786	SEQF3012	Corynebacterium	amycolatum	hfh0082
cluster2052	SEQF2172	Ralstonia	pickettii	12J
cluster419	SEQF1200	Escherichia	coli	ED1a (O81)
cluster2706	SEQF2445	Aggregatibacter	sp. HMT 458	W10330
cluster1037	SEQF1536	Streptococcus	pneumoniae	BS397
cluster2876	SEQF2559	Lactococcus	lactis	TIFN7
cluster1546	SEQF1849	Actinomyces	sp. HMT 170	F0386
cluster641	SEQF1318	Staphylococcus	aureus	N315
cluster1926	SEQF2080	Kingella	kingae	ATCC 23330
cluster1002	SEQF1526	Streptococcus	pneumoniae	CDC1873-00
cluster3896	SEQF3049	Corynebacterium	sp. HMT 207	nml_120412
cluster2239	SEQF2242	Streptococcus	pyogenes	ATCC 10782
cluster2269	SEQF2270	Corynebacterium	diphtheriae	CDCE 8392
cluster274	SEQF1139	Bacillus	anthracis	Tsiankovskii-I
cluster311	SEQF1153	Bacillus	anthracis	str. A0488
cluster3563	SEQF2914	Staphylococcus	schleiferi	tscc54
cluster2428	SEQF2304	Streptococcus	pneumoniae	GA02506
cluster3558	SEQF2912	Corynebacterium	urealyticum	hmsc27b11
cluster2618	SEQF2389	Fusobacterium	necrophorum	subsp. funduliforme Fnf 1007
cluster3749	SEQF2999	Corynebacterium	striatum	hmsc06c06
cluster2354	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1315	SEQF1703	Streptococcus	intermedius	F0413
cluster003	SEQF1006	Capnocytophaga	ochracea	F0287
cluster1122	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster3436	SEQF2867	Paracoccus	yeei	fdaargos_252
cluster1649	SEQF1921	Peptostreptococcus	anaerobius	653-L
cluster2537	SEQF2339	Streptococcus	mitis	SK616
cluster1423	SEQF1800	Prevotella	melaninogenica	D18
cluster684	SEQF1342	Streptococcus	pneumoniae	 D39
cluster1494	SEQF1832	Staphylococcus	aureus	TCH60
cluster3617	SEQF2949	Corynebacterium	amycolatum	hmsc070b05
cluster918	SEQF1496	Veillonella	parvula	"DSM 2008, Te3, ATCC 10790, JCM 1297"
cluster042	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster2950	SEQF2593	Streptococcus	intermedius	C270
cluster3521	SEQF2897	Micrococcus	luteus	nctc_2665
cluster976	SEQF1517	Escherichia	coli	O157:H7 str. EC508
cluster3784	SEQF3010	Corynebacterium	aurimucosum	hmsc078c09
cluster2094	SEQF2186	Yersinia	pestis	D182038
cluster3136	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster3158	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster444	SEQF1217	Escherichia	coli	S88 (O45:K1)
cluster3146	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster2944	SEQF2591	Streptococcus	constellatus	subsp. pharyngis C818
cluster3595	SEQF2940	Corynebacterium	accolens	kpl1859
cluster3366	SEQF2835	Aggregatibacter	actinomycetemcomitans	SC383s
cluster394	SEQF1194	Escherichia	coli	CFT073
cluster3478	SEQF2882	Corynebacterium	tuberculostearicum	sk141
cluster2959	SEQF2602	Lactobacillus	acidophilus	DSM 9126
cluster2647	SEQF2408	Burkholderia	cepacia	GG4
cluster2552	SEQF2345	Streptococcus	salivarius	M18
cluster2144	SEQF2203	Staphylococcus	aureus	O46
cluster3492	SEQF2889	Serratia	marcescens	rsc_14
cluster573	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster2819	SEQF2532	Fusobacterium	necrophorum	D12
cluster1200	SEQF1618	Leptotrichia	wadei	F0279
cluster2940	SEQF2590	Streptococcus	constellatus	subsp. pharyngis C232
cluster2064	SEQF2174	Stenotrophomonas	maltophilia	JV3
cluster1604	SEQF1890	Selenomonas	sp. HMT 133	F0473
cluster3384	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster2396	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster518	SEQF1277	Neisseria	meningitidis	8013 (serogroup C)
cluster3826	SEQF3027	Corynebacterium	accolens	kpl1996
cluster2165	SEQF2209	Streptococcus	agalactiae	FSL S3-026
cluster3577	SEQF2922	Prevotella	scopos	w2052
cluster1704	SEQF1953	Aggregatibacter	actinomycetemcomitans	ANH9381
cluster1963	SEQF2117	Lactobacillus	rhamnosus	ATCC 21052
cluster2345	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1741	SEQF1972	Propionibacteriaceae [G-2]	bacterium HMT 192	F0372
cluster1533	SEQF1846	Streptococcus	downei	F0415
cluster1117	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster2999	SEQF2617	Prevotella	nigrescens	CC14M
cluster2703	SEQF2443	Peptoniphilaceae [G-1]	bacterium HMT 113	W5053
cluster832	SEQF1406	Streptococcus	pneumoniae	SP6-BS73
cluster2401	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster2274	SEQF2271	Corynebacterium	diphtheriae	HC01
cluster3775	SEQF3007	Corynebacterium	coyleae	hmsc036e10
cluster749	SEQF1365	Streptococcus	pyogenes	SSI-1
cluster2988	SEQF2611	Lactobacillus	johnsonii	N6.2
cluster1260	SEQF1653	Capnocytophaga	granulosa	ATCC 51502
cluster706	SEQF1346	Streptococcus	pneumoniae	R6
cluster3365	SEQF2835	Aggregatibacter	actinomycetemcomitans	SC383s
cluster3801	SEQF3018	Fusobacterium	nucleatum subsp. polymorphum	hmsc064b11
cluster2089	SEQF2186	Yersinia	pestis	D182038
cluster1097	SEQF1564	Yersinia	pestis	biovar Medievalis str. Harbin 35
cluster396	SEQF1194	Escherichia	coli	CFT073
cluster2338	SEQF2287	Neisseria	meningitidis	NZ-05/33
cluster564	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster2327	SEQF2284	Neisseria	meningitidis	alpha710
cluster1089	SEQF1563	Yersinia	pestis	biovar Mediaevalis str. K1973002
cluster1673	SEQF1929	Streptococcus	pneumoniae	AP200
cluster929	SEQF1504	Escherichia	coli	str. K-12 substr. DH10B
cluster2946	SEQF2592	Streptococcus	intermedius	B196
cluster1888	SEQF2048	Corynebacterium	diphtheriae	241
cluster1548	SEQF1850	Haemophilus	haemolyticus	F0397
cluster1565	SEQF1855	Peptoniphilus	sp. HMT 375	F0436
cluster968	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster2126	SEQF2199	Staphylococcus	aureus	A8796
cluster029	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster2897	SEQF2575	Actinomyces	gerencseriae	DSM 6844
cluster2907	SEQF2581	Leptotrichia	hofstadii	DSM 21651
cluster1445	SEQF1806	Staphylococcus	aureus	A6224
cluster1624	SEQF1906	Capnocytophaga	sp. HMT 335	F0486
cluster425	SEQF1203	Escherichia	coli	F11
cluster1841	SEQF2018	Streptococcus	sanguinis	SK72
cluster395	SEQF1194	Escherichia	coli	CFT073
cluster3832	SEQF3029	Corynebacterium	simulans	hmsc06g04
cluster3430	SEQF2866	Corynebacterium	simulans	pes1
cluster2257	SEQF2267	Corynebacterium	diphtheriae	31A
cluster2200	SEQF2228	Streptococcus	pneumoniae	GA17545
cluster284	SEQF1140	Bacillus	anthracis	str. A0174
cluster3489	SEQF2886	Corynebacterium	afermentans	lcdc880199
cluster712	SEQF1355	Streptococcus	pyogenes	Manfredo (M5) M5
cluster1273	SEQF1672	Johnsonella	ignava	ATCC 51276
cluster234	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1682	SEQF1937	Capnocytophaga	sp. HMT 332	F0381
cluster1898	SEQF2057	Comamonas	testosteroni	ATCC 11996
cluster1866	SEQF2033	Aggregatibacter	actinomycetemcomitans	serotype b str. I23C
cluster1003	SEQF1526	Streptococcus	pneumoniae	CDC1873-00
cluster2686	SEQF2437	Aggregatibacter	actinomycetemcomitans	serotype b str. S23A
cluster1556	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster927	SEQF1504	Escherichia	coli	str. K-12 substr. DH10B
cluster2502	SEQF2329	Neisseria	meningitidis	961-5945
cluster1313	SEQF1703	Streptococcus	intermedius	F0413
cluster3291	SEQF2781	Actinomyces	radicidentis	CCUG 36733
cluster041	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster3278	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster3469	SEQF2880	Paenibacillus	glucanolyticus	5162
cluster2098	SEQF2188	Yersinia	pestis	Z176003
cluster1182	SEQF1596	Catonella	morbi	ATCC 51271
cluster742	SEQF1363	Streptococcus	pyogenes	"MGAS8232, ATCC BAA-572"
cluster653	SEQF1322	Staphylococcus	epidermidis	 ATCC 12228
cluster2733	SEQF2480	Streptococcus	mitis	NCTC 12261
cluster1992	SEQF2152	Lactococcus	lactis	CV56
cluster2599	SEQF2382	Pseudomonas	stutzeri	CCUG 29243
cluster1622	SEQF1903	Actinomyces	massiliensis	F0489
cluster1659	SEQF1926	Achromobacter	xylosoxidans	A8
cluster2163	SEQF2208	Staphylococcus	warneri	VCU121
cluster1942	SEQF2103	Lactobacillus	johnsonii	pf01
cluster1258	SEQF1653	Capnocytophaga	granulosa	ATCC 51502
cluster3669	SEQF2970	Corynebacterium	urealyticum	hmsc22b11
cluster1083	SEQF1562	Yersinia	pestis	biovar Antiqua str. UG05-0454
cluster2348	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster257	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster3323	SEQF2806	Actinomyces	oris	T14V
cluster2609	SEQF2385	Actinomyces	massiliensis	4401292
cluster3015	SEQF2623	Rhodobacter	capsulatus	YW1
cluster1421	SEQF1798	Prevotella	buccae	D17
cluster2531	SEQF2336	Streptococcus	intermedius	SK54
cluster3305	SEQF2789	Peptostreptococcaceae [XI][G-6]	[Eubacterium] nodatum	ATCC 33099
cluster1727	SEQF1967	Lautropia	mirabilis	ATCC 51599
cluster1444	SEQF1806	Staphylococcus	aureus	A6224
cluster3160	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster2557	SEQF2349	Haemophilus	parainfluenzae	HK2019
cluster951	SEQF1512	Escherichia	coli	O157:H7 str. EC4196
cluster2021	SEQF2167	Pseudomonas	aeruginosa	M18
cluster841	SEQF1408	Escherichia	coli	0157:H7 str. Sakai
cluster3449	SEQF2873	Corynebacterium	pilbarense	hmsc034a01
cluster2370	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster3316	SEQF2795	Moraxella	osloensis	CCUG 350
cluster3425	SEQF2864	Acinetobacter	radioresistens	wc_a_157
cluster1916	SEQF2072	Haemophilus	haemolyticus	M19107
cluster3674	SEQF2971	Corynebacterium	aurimucosum	hmsc070e08
cluster197	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster079	SEQF1038	Bacillus	anthracis	Ames Ancestor
cluster2077	SEQF2184	Yersinia	pestis	A1122
cluster049	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster909	SEQF1492	Staphylococcus	aureus	MRSA USA300_TCH1516
cluster598	SEQF1303	Pseudomonas	stutzeri	"A1501, CGMCC 0351"
cluster1464	SEQF1811	Staphylococcus	aureus	A9635
cluster3287	SEQF2775	Haemophilus	pittmaniae	HK 85
cluster704	SEQF1346	Streptococcus	pneumoniae	R6
cluster1018	SEQF1529	Streptococcus	pneumoniae	JJA
cluster1198	SEQF1616	Selenomonas	flueggei	ATCC 43531
cluster124	SEQF1059	Streptococcus	pneumoniae	G54
cluster3155	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster1730	SEQF1969	Neisseria	bacilliformis	ATCC BAA-1200
cluster375	SEQF1185	Cronobacter	sakazakii	ATCC BAA-894
cluster2347	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster2716	SEQF2453	Bacteroides	pyogenes	F0041
cluster1161	SEQF1588	Streptococcus	pneumoniae	BS458
cluster3830	SEQF3029	Corynebacterium	simulans	hmsc06g04
cluster2440	SEQF2307	Streptococcus	pneumoniae	GA17457
cluster2450	SEQF2317	Actinomyces	johnsonii	F0510
cluster734	SEQF1361	Streptococcus	pyogenes	"M1 MGAS5005, ATCC BAA-947"
cluster735	SEQF1361	Streptococcus	pyogenes	"M1 MGAS5005, ATCC BAA-947"
cluster612	SEQF1312	Staphylococcus	aureus	JH1
cluster877	SEQF1481	Enterobacter	cancerogenus	ATCC 35316
cluster1261	SEQF1655	Parascardovia	denticolens	F0305
cluster1271	SEQF1660	Peptidiphaga	gingivicola	F0332
cluster3816	SEQF3024	Corynebacterium	amycolatum	hmsc064h12
cluster008	SEQF1013	Corynebacterium	matruchotii	ATCC 14266
cluster1576	SEQF1866	Treponema	denticola	OTK/F0454
cluster3220	SEQF2719	Ignavibacterium	album	JCM 16511
cluster3444	SEQF2871	Kocuria	rhizophila	fdaargos_302
cluster687	SEQF1343	Streptococcus	pneumoniae	INV104
cluster2612	SEQF2387	Capnocytophaga	ochracea	str. Holt 25
cluster3152	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster3148	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster3507	SEQF2891	Streptococcus	thermophilus	jim_8232
cluster3510	SEQF2892	Staphylococcus	haemolyticus	s167
cluster3609	SEQF2944	Corynebacterium	aurimucosum	hmsc072d12
cluster617	SEQF1313	Staphylococcus	aureus	JH9
cluster157	SEQF1076	Fusobacterium	nucleatum subsp. vincentii	ATCC 49256
cluster3174	SEQF2708	Bifidobacterium	subtile	LMG 11597
cluster141	SEQF1069	Streptococcus	mutans	"UA159, ATCC 700610"
cluster888	SEQF1486	Acinetobacter	baumannii	MDR-ZJ06
cluster3548	SEQF2909	Staphylococcus	lugdunensis	fdaargos_143
cluster3865	SEQF3040	Corynebacterium	sp. HMT 207	hmsc071b10
cluster3031	SEQF2635	Tannerella	sp. HMT 286	isolate Cell 2
cluster2758	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster3134	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster1761	SEQF1979	Sanguibacter	keddieii	DSM 10542
cluster1560	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster610	SEQF1311	Staphylococcus	aureus	COL
cluster2658	SEQF2411	Afipia	broomeae	ATCC 49717
cluster2082	SEQF2185	Yersinia	pestis	D106004
cluster965	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster402	SEQF1195	Neisseria	flavescens	NRL30031/H210
cluster1499	SEQF1833	Staphylococcus	aureus	TCH70
cluster3296	SEQF2784	Corynebacterium	tuscaniense	DNF00037
cluster898	SEQF1489	Staphylococcus	aureus	D30
cluster710	SEQF1349	Streptococcus	pneumoniae	TIGR4
cluster3120	SEQF2695	Pseudomonas	otitidis	nan
cluster2407	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster2852	SEQF2543	Lactobacillus	plantarum	subsp. plantarum P-8
cluster3034	SEQF2636	Tannerella	sp. HMT 286	isolate Cell 5
cluster908	SEQF1491	Staphylococcus	aureus	USA300_TCH959
cluster3295	SEQF2784	Corynebacterium	tuscaniense	DNF00037
cluster095	SEQF1054	Yersinia	pestis	Antiqua JGI
cluster3626	SEQF2952	Corynebacterium	simulans	hmsc08c04
cluster2137	SEQF2201	Staphylococcus	aureus	A9754
cluster3760	SEQF3003	Corynebacterium	coyleae	hmsc055d05
cluster1342	SEQF1711	Escherichia	coli	O26:H11 str. 11368
cluster3842	SEQF3032	Corynebacterium	aurimucosum	hmsc068g04
cluster2429	SEQF2304	Streptococcus	pneumoniae	GA02506
cluster1703	SEQF1951	Selenomonas	sp. HMT 138	F0429
cluster560	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster1672	SEQF1929	Streptococcus	pneumoniae	AP200
cluster2467	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster2020	SEQF2167	Pseudomonas	aeruginosa	M18
cluster2595	SEQF2381	Pseudomonas	fluorescens	SS101
cluster2710	SEQF2449	Actinomyces	johnsonii	F0542
cluster2559	SEQF2351	Neisseria	sicca	VK64
cluster3035	SEQF2636	Tannerella	sp. HMT 286	isolate Cell 5
cluster3771	SEQF3006	Corynebacterium	amycolatum	hmsc11h10
cluster2310	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster2080	SEQF2184	Yersinia	pestis	A1122
cluster2737	SEQF2482	Agrobacterium	tumefaciens	str. Cherry 2E-2-2
cluster1360	SEQF1723	Neisseria	meningitidis	alpha14
cluster1715	SEQF1960	Enterobacter	hormaechei	ATCC 49162
cluster2099	SEQF2188	Yersinia	pestis	Z176003
cluster2013	SEQF2167	Pseudomonas	aeruginosa	M18
cluster3883	SEQF3045	Corynebacterium	aurimucosum	hmsc035e02
cluster2058	SEQF2173	Staphylococcus	aureus	04-02981
cluster2374	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster231	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster3154	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster2391	SEQF2297	Aggregatibacter	actinomycetemcomitans	serotype c str. SCC2302
cluster1049	SEQF1556	Yersinia	pestis	CA88-4125
cluster162	SEQF1082	Yersinia	pestis	biovar Microtus str. 91001
cluster2353	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1441	SEQF1805	Staphylococcus	aureus	A5948
cluster1135	SEQF1569	Yersinia	pestis	biovar Orientalis str. PEXU2
cluster1403	SEQF1784	Mobiluncus	mulieris	28-1
cluster805	SEQF1402	Streptococcus	pneumoniae	SP18-BS74
cluster3598	SEQF2941	Haemophilus	parainfluenzae	ccug 60358
cluster779	SEQF1393	Peptostreptococcus	stomatis	"DSM 17678, W2278"
cluster2631	SEQF2395	Stenotrophomonas	maltophilia	Ab55555
cluster1803	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster2512	SEQF2332	Pseudomonas	fluorescens	A506
cluster2166	SEQF2209	Streptococcus	agalactiae	FSL S3-026
cluster212	SEQF1109	Neisseria	gonorrhoeae	NCCP11945
cluster2283	SEQF2272	Corynebacterium	diphtheriae	HC02
cluster1706	SEQF1954	Aggregatibacter	actinomycetemcomitans	D17P-2
cluster2111	SEQF2193	Pseudomonas	aeruginosa	39016
cluster559	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster3582	SEQF2936	Corynebacterium	aurimucosum	hmsc066c02
cluster2519	SEQF2332	Pseudomonas	fluorescens	A506
cluster2220	SEQF2231	Streptococcus	pneumoniae	GA41317
cluster2551	SEQF2345	Streptococcus	salivarius	M18
cluster1691	SEQF1941	Treponema	maltophilum	ATCC 51939
cluster1073	SEQF1560	Yersinia	pestis	biovar Antiqua str. B42003004
cluster636	SEQF1317	Staphylococcus	aureus	 MW2
cluster2281	SEQF2272	Corynebacterium	diphtheriae	HC02
cluster1824	SEQF1999	Streptococcus	oralis subsp. dentisani clade 398	SK95
cluster3000	SEQF2617	Prevotella	nigrescens	CC14M
cluster1183	SEQF1597	Alloprevotella	tannerae	ATCC 51259
cluster2170	SEQF2211	Streptococcus	constellatus	subsp. pharyngis SK1060
cluster3569	SEQF2916	Acinetobacter	johnsonii	xbb1
cluster811	SEQF1403	Streptococcus	pneumoniae	SP19-BS75
cluster1638	SEQF1916	Neisseria	meningitidis	ATCC 13091
cluster693	SEQF1344	Streptococcus	pneumoniae	INV200
cluster683	SEQF1342	Streptococcus	pneumoniae	 D39
cluster3839	SEQF3031	Corynebacterium	amycolatum	hmsc077g07
cluster1858	SEQF2030	Achromobacter	xylosoxidans	C54
cluster3852	SEQF3036	Corynebacterium	simulans	hmsc076d02
cluster3086	SEQF2681	Prevotella	marshii	JCM 13450
cluster2848	SEQF2540	Lactobacillus	acidophilus	La-14
cluster208	SEQF1103	Dialister	invisus	DSM 15470
cluster676	SEQF1341	Streptococcus	pneumoniae	670-6B
cluster1830	SEQF2003	Streptococcus	mitis	SK597
cluster2141	SEQF2202	Staphylococcus	aureus	O11
cluster878	SEQF1482	Lactococcus	lactis	IL1403
cluster075	SEQF1037	Bacillus	anthracis	Ames
cluster276	SEQF1139	Bacillus	anthracis	Tsiankovskii-I
cluster236	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1865	SEQF2033	Aggregatibacter	actinomycetemcomitans	serotype b str. I23C
cluster1393	SEQF1761	Lactobacillus	acidophilus	ATCC 4796
cluster1274	SEQF1673	Selenomonas	infelix	ATCC 43532
cluster500	SEQF1264	Neisseria	sicca	ATCC 29256
cluster3012	SEQF2622	Rhodobacter	capsulatus	Y262
cluster601	SEQF1310	Staphylococcus	aureus	RF122
cluster215	SEQF1111	Haemophilus	influenzae	6P18H1
cluster101	SEQF1055	Yersinia	pestis	CO92
cluster2933	SEQF2587	Streptococcus	anginosus	C1051
cluster593	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster722	SEQF1358	Streptococcus	pyogenes	"MGAS10750, ATCC BAA-1066"
cluster2529	SEQF2336	Streptococcus	intermedius	SK54
cluster925	SEQF1503	Escherichia	coli	BL21(DE3)
cluster291	SEQF1141	Bacillus	anthracis	str. A0193
cluster2791	SEQF2514	Ralstonia	pickettii	OR214
cluster2113	SEQF2193	Pseudomonas	aeruginosa	39016
cluster020	SEQF1017	Peptostreptococcaceae [XI][G-5]	[Eubacterium] saphenum	ATCC 49989
cluster3300	SEQF2786	Streptococcus	infantis clade 431	F0610 (5-114)
cluster2093	SEQF2186	Yersinia	pestis	D182038
cluster3381	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster1410	SEQF1790	Neisseria	flavescens	SK114
cluster1322	SEQF1708	Bacillus	anthracis	A0248
cluster3281	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster2914	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster2209	SEQF2230	Streptococcus	pneumoniae	GA41301
cluster1375	SEQF1728	Anaerococcus	tetradius	ATCC 35098
cluster984	SEQF1519	Escherichia	coli	SECEC SMS-3-5
cluster3438	SEQF2867	Paracoccus	yeei	fdaargos_252
cluster1714	SEQF1959	Dialister	micraerophilus	DSM 19965
cluster1927	SEQF2084	Lactobacillus	crispatus	214-1
cluster2613	SEQF2387	Capnocytophaga	ochracea	str. Holt 25
cluster562	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster2877	SEQF2560	Lactococcus	lactis	str. TIFN2
cluster3060	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster2880	SEQF2560	Lactococcus	lactis	str. TIFN2
cluster191	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster3554	SEQF2911	Corynebacterium	pseudodiphtheriticum	kpl1995
cluster2905	SEQF2579	Campylobacter	concisus	ATCC 51562
cluster1759	SEQF1978	Kytococcus	sedentarius	DSM 20547
cluster2491	SEQF2325	Bradyrhizobium	elkanii	587
cluster3728	SEQF2993	Corynebacterium	tuberculostearicum	kpl1860
cluster797	SEQF1400	Streptococcus	pneumoniae	SP11-BS70
cluster2054	SEQF2172	Ralstonia	pickettii	12J
cluster2892	SEQF2570	Lactococcus	lactis	UC509.9
